	Samples used	Features used	Time Taken
0	400000	1	28.12920641899109
1	400000	4	14.889450073242188
2	400000	7	14.241664409637451
3	400000	10	18.17094326019287
4	400000	13	18.707536220550537
5	400000	16	23.790577173233032
6	400000	19	29.17371368408203
7	400000	22	26.20365810394287
8	400000	25	30.394289255142212
9	400000	28	30.255617380142212
10	400000	31	35.97448492050171
11	400000	34	30.450197219848633
12	400000	37	36.03234577178955
13	400000	40	36.19047784805298
14	400000	43	42.60803556442261
15	400000	46	35.78799295425415
16	400000	49	41.61240911483765
17	800000	1	58.49711775779724
18	800000	4	33.35382676124573
19	800000	7	39.91737461090088
20	800000	10	43.98381209373474
21	800000	13	43.851656675338745
22	800000	16	63.1056489944458
23	800000	19	58.067766189575195
24	800000	22	62.50974726676941
25	800000	25	75.96028423309326
26	800000	28	76.64683723449707
27	800000	31	71.00027203559875
28	800000	34	76.74140357971191
29	800000	37	84.74465346336365
30	800000	40	90.31225633621216
31	800000	43	92.82177352905273
32	800000	46	80.72663831710815
33	800000	49	101.43930101394653
34	1200000	1	99.66428875923157
35	1200000	4	66.76851058006287
36	1200000	7	63.11617040634155
37	1200000	10	78.20894932746887
38	1200000	13	74.99553775787354
39	1200000	16	99.16094398498535
40	1200000	19	97.05756664276123
41	1200000	22	100.24704170227051
42	1200000	25	126.98157930374146
43	1200000	28	126.45199537277222
44	1200000	31	124.82135510444641
45	1200000	34	127.09328079223633
46	1200000	37	148.45019459724426
47	1200000	40	153.1147267818451
48	1200000	43	150.30224418640137
49	1200000	46	146.6061234474182
50	1200000	49	174.40282320976257
